Crop,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
Rice agric,388.95,395.2,393.25,368.1,443.1,445.21,431.03,455.17,450.5,466.5,416.92,461.18
Rice ,311.29,312.54,315.6,322.54,375.62,365.52,348.47,372.48,38.13,40,37.08,37.06
Maize grain ,150.43,150.43,184.84,193.35,201.53,209.82,241.07,290.76,347.38,332,324.06,359.67
Maize,149.32,169.32,194.29,214.96,205.36,219.2,254.46,276.61,311.68,309.41,281.25,305.71
Palm oil,564.1,578.46,574.81,575,616.19,625,681.48,794.12,1037.5,1042.86,1010,1065.56
Plantain(ripe),210,250,290,302.5,320.59,245.59,250,250,1325,1000,1032.14,1156.14
Plantain(unripe),216.67,226.67,275,286.67,290,266.67,274.34,288.89,310,304.29,310,276.67
Vegetable oil,608.15,621.48,628,635,650,733.33,811.11,831.37,282.5,280.22,275,280.77
Wheat flour,656.25,675,685,695.5,693.33,717.5,783.33,800,314.48,304.6,300.45,469.54
Catfish (obokun) fresh,1030.39,1082.54,1119.32,1000,905.69,1025,1026.11,1186.25,1012.91,1102,935,822.22
Catfish :dried,1999.32,2037.99,2045.16,1933.33,2014.14,1958.62,1880,2002.5,1965.38,1980,1857.14,1120
Catfish Smoked,1428.57,1364.29,1300,1333.33,1255.1,1300,1314.28,1300,1279.87,1100,1000,1000
Mackerel : frozen,717.98,710,766.67,833.33,754.51,741.67,766.67,833.33,771.93,833.33,833.33,909.09
"Groundnut oil: 1 bottle, specify bottle",501.48,497.77,490.33,508.51,490.67,497.33,508.44,500,497.7,498.07,473.64,536.3
Maize grain white sold loose,147.6,158.92,144.29,150.03,161.25,155.95,153.27,156.58,143.96,156.18,136.75,121.03
